,FDO,NEM,MNST,VRTX,NFLX,ED,S&P 500,,,
,0.092677677,-0.099367604,0.068668946,0.02283747,-0.057781211,0.067723743,-0.048611823,,,
,0.034232056,0.092541624,0.072503849,-0.010452507,0.202114571,0.04270648,0.083928474,,,
,0.035160071,0.026449053,0.034478607,0.037128572,0.256118442,0.01441284,0.036193052,,,
,0.04451083,-0.031538152,0.093905235,0.102463616,0.06799749,0.030633408,-0.002292876,,,
,0.083684776,-0.033924188,0.038499478,-0.145010624,0.170809568,-0.015493186,0.063256488,,,
,-0.006689094,0.045654592,-0.017820453,0.055765562,-0.158612607,0.024506109,0.022392969,,,
,-0.157172777,-0.10929317,0.080101599,0.104532314,0.197571808,0.0068355,0.031456577,,,
,0.164588403,0.003625109,0.015938686,0.182364395,-0.035226478,0.013449894,-0.001047862,,,
,0.028018947,-0.00964525,0.045516432,0.026640096,0.140222564,0.014697429,0.028096939,,,
,0.05478484,0.071237768,0.093754354,0.138500232,-0.02172474,0.027228328,-0.013592919,,,
,0.027832642,-0.035426526,0.079868261,-0.019442964,0.151759365,0.029023078,-0.018426186,,,
,-0.055298946,-0.04318945,0.122038449,-0.03774745,-0.030405859,0.003386632,-0.021708356,,,
,0.010409807,0.029934732,-0.054973465,-0.002503631,0.012484039,-0.012093893,-0.058467502,,,
,0.00525826,0.118721608,0.107550728,-0.135903238,-0.123830631,0.077608256,-0.074467101,,,
,-0.045006154,0.009920293,0.022827015,-0.018054675,-0.729853722,0.014307426,0.102306592,,,
,0.142169722,0.059811373,0.020411141,-0.116013325,-0.322079917,0.014797019,-0.005071554,,,
,0.013384289,0.030213696,0.034313037,-0.311625618,-0.240564189,0.036543134,0.008496566,,,
,-0.026935595,-0.132564806,-0.000650928,0.135900062,0.071170394,0.042987245,0.042660044,,,
,-0.03278985,0.024200689,0.12597362,0.106714669,0.550856387,-0.050758859,0.039787345,,,
,-0.032974999,-0.033912758,0.090068588,0.051942531,-0.082062164,-0.004409254,0.030851476,,,
,0.162447263,-0.14139549,0.082380758,0.052307685,0.03818507,0.005492622,-0.0075257,,,
,0.065298827,-0.073223147,0.045802325,-0.063677265,-0.36150481,0.017477372,-0.064699308,,,
,0.002956345,-0.010336583,0.110577624,0.444872398,-0.233680531,0.025357904,0.03879272,,,
,-0.01589368,0.035152489,-0.019472118,-0.071088961,0.076593158,0.029867542,0.012518885,,,
,-0.006035045,-0.08695512,-0.06949459,-0.142152141,-0.186271535,0.036471061,0.01957061,,,
,-0.037623938,0.130716518,-0.119478225,0.094729141,0.049250804,-0.052522831,0.023947119,,,
,0.044282914,0.107107511,-0.086425401,0.046886393,-0.09256783,-0.012115351,-0.019987843,,,
,-0.005141411,-0.026041231,-0.191240207,-0.14636808,0.375382037,0.008148401,0.002842673,,,
,0.076444296,-0.147606907,0.153350424,-0.193401726,0.030695185,-0.068282236,0.007043368,,,
,-0.112619168,-0.006208037,0.015063704,0.051670225,0.12500472,-0.004491112,0.049197792,,,
,-0.111847331,-0.077891748,-0.098152933,0.066475714,0.579217892,0.023840285,0.010999928,,,
,0.014879883,-0.064166017,0.052065377,0.044548873,0.129468422,0.04741311,0.035355294,,,
,0.030178676,0.049830828,-0.055411261,0.160477138,0.00635998,0.033828036,0.017924166,,,
,0.038536554,-0.256888657,0.166699531,0.334677423,0.132375067,0.042033813,0.020550202,,,
,-0.003591225,0.056403622,-0.032618478,0.044678152,0.046038121,-0.099081887,-0.015112929,,,
,0.022912543,-0.124718756,0.108232405,-0.003366846,-0.069356019,0.021495063,0.048277728,,,
,0.098500275,0.001668005,0.002626828,-0.003252787,0.146848926,0.026902897,-0.031798268,,,
,0.034730128,0.05732508,-0.060839894,-0.060037399,0.149523811,-0.052974762,0.029315591,,,
,0.015183081,-0.114852648,-0.093830164,0.008875967,0.085363328,-0.019575027,0.043629971,,,
,-0.044577921,-0.030349215,0.091038346,-0.060764794,0.042020524,0.054353584,0.02766329,,,
,0.012838181,-0.09336781,0.033505411,-0.027422334,0.12604555,-0.04252549,0.023289474,,,
,-0.067292554,-0.066826664,0.135535928,0.06793601,0.00645812,0.001267085,-0.036231407,,,
,-0.049698674,-0.06410434,0.001916489,0.061843074,0.105976822,-0.015863231,0.042213375,,,
,0.05782323,0.074041749,0.086029029,0.02276521,0.084967378,0.041427096,0.006908249,,,
,-0.116453608,0.013898232,-0.063458067,-0.133990844,-0.235772626,-0.043762621,0.006181643,,,
,0.012675756,0.057608588,-0.036511615,-0.043642297,-0.089040607,0.078478562,0.020812196,,,
,-0.002556479,-0.081352504,0.035503187,0.065184618,0.260398831,-0.05344513,0.018878997,,,
,0.125604809,0.106726099,0.023503711,0.270232031,0.053062828,0.048435294,-0.015194687,,,
,0.122375555,-0.021053438,-0.104844437,-0.062878118,-0.041427424,-0.028992732,0.036963644,,,
,0.065750234,0.083895325,0.323727258,0.051085152,0.122147318,0.042720992,-0.015635436,,,
,-0.029043217,-0.160509862,0.036210019,0.182553068,-0.056990985,-0.021476179,0.022936399,,,
,0.013502462,-0.205938809,0.095736512,0.002933996,-0.138642187,0.111764285,0.024237474,,,
,0.009660708,-0.019376311,0.105905617,0.045470249,-0.125081657,0.006690494,-0.004197385,,,
,0.002021939,0.028115515,-0.034470569,0.0077743,-0.014472822,0.044293409,-0.031532779,,,
,-0.040054302,0.285695958,0.076379758,-0.075689157,0.257187572,0.04835002,0.053438876,,,
,0.034103022,0.045851124,0.187864089,0.080978151,0.072268057,-0.082845414,-0.017549197,,,
,0.006329936,-0.191820311,-0.019462557,-0.012300062,-0.130782776,-0.034480618,0.008484722,,,
,-0.01397912,0.198994349,-0.009364469,0.04402782,0.289324626,0.008975953,0.01043673,,,
,0.006505578,0.03923518,-0.04360348,0.032166858,0.104610901,0.00247395,-0.01095476,,,
,0.013154509,-0.003439241,0.026765287,0.014998265,0.027315226,0.005926376,0.004709907,AVG Return,,
,0.005586499,0.011206298,0.016313229,0.015818762,0.028448459,0.001797729,0.001919319,Variance,,
,,,,,,,,,,
Covariance,FDO,NEM,MNST,VRTX,NFLX,ED,,,,
FDO,0.005538339,-0.00085018,7.58E-05,-0.000432425,-0.000497174,0.000208687,,,,
NEM,-0.00085018,0.011109692,0.00032039,0.000237331,0.001832325,-0.000187811,,,,
MNST,7.58E-05,0.00032039,0.016172597,0.001062599,0.001508284,0.000381544,,,,
VRTX,-0.000432425,0.000237331,0.001062599,0.015682394,0.002594931,0.000561056,,,,
NFLX,-0.000497174,0.001832325,0.001508284,0.002594931,0.028203213,-0.000411936,,,,
ED,0.000208687,-0.000187811,0.000381544,0.000561056,-0.000411936,0.001782232,,,,
,,,,,,,,,,
Correlation,,,,,,,,,,
,FDO,NEM,MNST,VRTX,NFLX,ED,,,,
FDO,1.0000,-0.1084,0.0080,-0.0464,-0.0398,0.0664,,,,
NEM,-0.1084,1.0000,0.0239,0.0180,0.1035,-0.0422,,,,
MNST,0.0080,0.0239,1.0000,0.0667,0.0706,0.0711,,,,
VRTX,-0.0464,0.0180,0.0667,1.0000,0.1234,0.1061,,,,
NFLX,-0.0398,0.1035,0.0706,0.1234,1.0000,-0.0581,,,,
ED,0.0664,-0.0422,0.0711,0.1061,-0.0581,1.0000,,,,
,,,,,,,,,,
weight1,0.15,0.25,0.1,0.2,0.2,0.1,1,,,
weight2,0.3,0.05,0.2,0.1,0.1,0.25,1,,,
,,,,,,,,,,
0.013154509,-0.003439241,0.026765287,0.014998265,0.027315226,0.005926376,Return,,,,
cov,,,,,,,,,,
0.005538339,-0.00085018,7.58E-05,-0.000432425,-0.000497174,0.000208687,,,,,
-0.00085018,0.011109692,0.00032039,0.000237331,0.001832325,-0.000187811,,,,,
7.58E-05,0.00032039,0.016172597,0.001062599,0.001508284,0.000381544,,,,,
-0.000432425,0.000237331,0.001062599,0.015682394,0.002594931,0.000561056,,,,,
-0.000497174,0.001832325,0.001508284,0.002594931,0.028203213,-0.000411936,,,,,
0.000208687,-0.000187811,0.000381544,0.000561056,-0.000411936,0.001782232,,,,,
Expected Return of portfolio 1,,,,,,,,,,
0.001973176,,,,,,,,,,
Standard Deviation of portfolio 1,,,,,,,,,,
0.043649102,,,,,,,,,,
Expected Return of portfolio 2,,,,,,,,,,
0.003946353,,,,,,,,,,
Standard Deviation of portfolio 2,,,,,,,,,,
0.043649102,,,,,,,,,,
,,,,,,,,,,
0.001973176,0.003946353,Returns,,,,,,,,
0.043649102,0.043649102,Std,,,,,,,,
,0.00184843,Cov,,,,,,,,
weight of portfolio 1,weight of portfolio 2,Expected Return ,Standard Deviation,,,,,,,
-0.2,1.2,0.004340988,0.043960376,,,,,,,
-0.1,1.1,0.00414367,0.043792044,,,,,,,
0,1,0.003946353,0.043649102,,,,,,,
0.1,0.9,0.003749035,0.0435318,,,,,,,
0.2,0.8,0.003551717,0.043440347,,,,,,,
0.3,0.7,0.0033544,0.043374905,,,,,,,
0.4,0.6,0.003157082,0.043335592,,,,,,,
0.5,0.5,0.002959765,0.04332248,,,,,,,
0.6,0.4,0.002762447,0.043335592,,,,,,,
0.7,0.3,0.002565129,0.043374905,,,,,,,
0.8,0.2,0.002367812,0.043440347,,,,,,,
0.9,0.1,0.002170494,0.0435318,,,,,,,
1,0,0.001973176,0.043649102,,,,,,,
1.1,-0.1,0.001775859,0.043792044,,,,,,,
1.2,-0.2,0.001578541,0.043960376,,,,,,,
,,,,,,,,,,
Beta,FDO,NEM,MNST,VRTX,NFLX,ED,,,,
S&P 500,0.030652203,0.023393686,-0.142438207,0.174038948,0.082036466,-0.033998458,,,,
,,,,,,,,,,
Covariance Matrix with simple index model,,,,,,,,,,
,FDO,NEM,MNST,VRTX,NFLX,ED,,,,
FDO,1.80E-06,1.38E-06,-8.38E-06,1.02E-05,4.83E-06,-2.00E-06,,,,
NEM,1.38E-06,1.05E-06,-6.40E-06,7.81E-06,3.68E-06,-1.53E-06,,,,
MNST,-8.38E-06,-6.40E-06,3.89E-05,-4.76E-05,-2.24E-05,9.29E-06,,,,
VRTX,1.02E-05,7.81E-06,-4.76E-05,5.81E-05,2.74E-05,-1.14E-05,,,,
NFLX,4.83E-06,3.68E-06,-2.24E-05,2.74E-05,1.29E-05,-5.35E-06,,,,
ED,-2.00E-06,-1.53E-06,9.29E-06,-1.14E-05,-5.35E-06,2.22E-06,,,,
,,,,,,,,,,
,,c,Return ,Std,w1,w2,w3,w4,w5,w6
,,-0.16,0.008690302,0.032668777,0.199150435,0.104866111,0.050175616,0.044369566,0.040135615,0.561302605
,,-0.155,0.008690302,0.032668777,0.199150435,0.104866111,0.050175616,0.044369566,0.040135615,0.561302605
,,-0.15,0.008713266,0.03267337,0.199488346,0.10439727,0.050625693,0.044497129,0.040397206,0.560594304
,,-0.145,0.008739029,0.032678857,0.199889035,0.10388167,0.051127455,0.044613662,0.040702236,0.55978589
,,-0.14,0.008739029,0.032678857,0.199889035,0.10388167,0.051127455,0.044613662,0.040702236,0.55978589
,,-0.135,0.008769221,0.032685736,0.200306776,0.103253813,0.051716982,0.044862961,0.041017625,0.558841763
,,-0.13,0.008769221,0.032685736,0.200306776,0.103253813,0.051716982,0.044862961,0.041017625,0.558841763
Arbitrage,,-0.125,0.008802766,0.03269395,0.200762294,0.102560973,0.05237355,0.045084242,0.041395093,0.557823768
w1,0.19915,-0.12,0.008802766,0.03269395,0.200762294,0.102560973,0.05237355,0.045084242,0.041395093,0.557823768
w2,0.104866,-0.115,0.008844345,0.032704964,0.2012983,0.10168221,0.053164401,0.045392654,0.041871812,0.556590545
w3,0.050176,-0.11,0.008844345,0.032704964,0.2012983,0.10168221,0.053164401,0.045392654,0.041871812,0.556590545
w4,0.04437,-0.105,0.008866155,0.032711109,0.201700461,0.101266297,0.053602896,0.045452621,0.042120815,0.555856911
w5,0.040136,-0.1,0.008890524,0.032718274,0.202031267,0.100766368,0.054099247,0.04560955,0.042379272,0.555114296
w6,0.561303,-0.095,0.008981856,0.032747932,0.203398854,0.098881598,0.055824807,0.046136607,0.043457159,0.552300975
sum,1,-0.09,0.008947689,0.032736318,0.202857151,0.099592999,0.055183612,0.045939446,0.04306265,0.553364142
,,-0.085,0.008980892,0.032747595,0.203338011,0.098911613,0.055831943,0.046139895,0.043437439,0.552341098
return,0.008690302,-0.08,0.0090193,0.032761369,0.203944599,0.098149796,0.056587946,0.04638056,0.043855947,0.551081152
std,0.032668777,-0.075,0.009060536,0.032777025,0.204550169,0.097264126,0.057359807,0.046609347,0.044342345,0.549874205
theta,5.010603877,-0.07,0.009107437,0.032795925,0.205238828,0.096298728,0.058272105,0.046881527,0.044875387,0.548433424
c,-0.155,-0.065,0.009160663,0.032818779,0.206018366,0.09520242,0.059310731,0.047193258,0.045476259,0.546798964
,,-0.06,0.009221583,0.032846767,0.206906722,0.093947911,0.06050142,0.047549994,0.046163582,0.54493037
,,-0.055,0.009291988,0.032881539,0.207927485,0.092499714,0.061880559,0.047960621,0.0469583,0.54277332
,,-0.05,0.009374279,0.032925469,0.209110738,0.090813466,0.063498558,0.048437925,0.047888596,0.540250717
,,-0.045,0.009471414,0.032981867,0.210483896,0.08881863,0.065418866,0.048988264,0.048988119,0.537302224
,,-0.04,0.009589358,0.033056924,0.212152965,0.086475424,0.06777471,0.049658562,0.05033276,0.533605577
,,-0.035,0.009589358,0.033056924,0.212152965,0.086475424,0.06777471,0.049658562,0.05033276,0.533605577
,,-0.03,0.009916558,0.033302488,0.217056527,0.079708315,0.074103779,0.051624729,0.054009905,0.523496743
,,-0.025,0.010155321,0.033515783,0.220502375,0.07485813,0.078775798,0.053105993,0.056704482,0.516053221
,,-0.02,0.010478508,0.033849276,0.225203321,0.068227647,0.085154636,0.054966056,0.06031885,0.506129487
,,-0.015,0.0109403,0.034412322,0.231856516,0.058739265,0.094223889,0.057700824,0.065510052,0.491969452
,,-0.01,0.0116525,0.035469572,0.24199709,0.044181806,0.108021143,0.062278628,0.073622432,0.469898901
,,-0.005,0.012900736,0.037819884,0.260049488,0.018639164,0.132408453,0.069865536,0.087718339,0.43131902
,,0,0.015646223,0.044730382,0.299769366,-0.03758393,0.186043621,0.086483121,0.118733131,0.346554693
,,0.005,0.026641444,0.083218849,0.458845033,-0.26274827,0.400841516,0.153033714,0.242942908,0.007085095
,,0.006,0.034508655,0.114201424,0.572656674,-0.423855636,0.554540351,0.200616082,0.331826524,-0.235784064
,,0.0065,0.041669495,0.143142465,0.676248092,-0.570498624,0.694426552,0.243992619,0.412713592,-0.456882294
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Return ,Std,w1,w2,w3,w4,w5,w6
,,,-0.0025,0.0947,0.0000,0.8997,0.0000,0.0000,0.0000,0.1003
,,,-0.0020,0.0892,0.0000,0.8463,0.0000,0.0000,0.0000,0.1537
No Arbitrage,,,-0.0015,0.0837,0.0000,0.7929,0.0000,0.0000,0.0000,0.2071
w1,0,,-0.0010,0.0783,0.0000,0.7396,0.0000,0.0000,0.0000,0.2604
w2,0.686165,,-0.0005,0.0730,0.0000,0.6862,0.0000,0.0000,0.0000,0.3138
w3,0,,0.0000,0.0678,0.0000,0.6328,0.0000,0.0000,0.0000,0.3672
w4,0,,0.0050,0.0357,0.1178,0.1960,0.0000,0.0064,0.0000,0.6797
w5,-0.000001,,0.0100,0.0334,0.2181,0.0780,0.0757,0.0523,0.0549,0.5209
w6,0.313836,,0.0150,0.0431,0.2947,0.0000,0.1807,0.0836,0.1131,0.3279
sum,1,,0.0200,0.0611,0.3850,0.0000,0.3090,0.1182,0.1767,0.0111
,,,0.0250,0.0902,0.1207,0.0000,0.5421,0.0250,0.3122,0.0000
return,-0.0005,,,,,,,,,
std,0.072974882,,,,,,,,,
theta,0.280390913,,,,,,,,,
Expected return,-0.0005,,,,,,,,,
